,count,mean,std,min,25%,50%,75%,max
fr_ester,1001.0,0.21978021978021978,0.477125090147596,0.0,0.0,0.0,0.0,4.0
fr_ether,1001.0,1.0129870129870129,1.4123849223321412,0.0,0.0,1.0,1.0,8.0
fr_furan,1001.0,0.04895104895104895,0.23366942162251056,0.0,0.0,0.0,0.0,2.0
fr_guanido,1001.0,0.003996003996003996,0.06311906197034288,0.0,0.0,0.0,0.0,1.0
fr_halogen,1001.0,0.6343656343656343,1.2562554764767484,0.0,0.0,0.0,1.0,9.0
fr_hdrzine,1001.0,0.002997002997002997,0.05469011785513899,0.0,0.0,0.0,0.0,1.0
fr_hdrzone,1001.0,0.06593406593406594,0.25228624942384725,0.0,0.0,0.0,0.0,2.0
fr_imidazole,1001.0,0.05194805194805195,0.22203310856424388,0.0,0.0,0.0,0.0,1.0
fr_imide,1001.0,0.026973026973026972,0.16208555849219963,0.0,0.0,0.0,0.0,1.0
fr_isocyan,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_isothiocyan,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_ketone,1001.0,0.1918081918081918,0.5071221028241889,0.0,0.0,0.0,0.0,3.0
fr_ketone_Topliss,1001.0,0.11288711288711288,0.4150225972688189,0.0,0.0,0.0,0.0,3.0
fr_lactam,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_lactone,1001.0,0.04495504495504495,0.23016738034965548,0.0,0.0,0.0,0.0,2.0
fr_methoxy,1001.0,0.27172827172827174,0.7294449328701311,0.0,0.0,0.0,0.0,4.0
fr_morpholine,1001.0,0.08291708291708291,0.37164214254828815,0.0,0.0,0.0,0.0,2.0
fr_nitrile,1001.0,0.005994005994005994,0.07722717115132446,0.0,0.0,0.0,0.0,1.0
fr_nitro,1001.0,0.026973026973026972,0.16208555849219963,0.0,0.0,0.0,0.0,1.0
fr_nitro_arom,1001.0,0.011988011988011988,0.10888592129446238,0.0,0.0,0.0,0.0,1.0
fr_nitro_arom_nonortho,1001.0,0.01098901098901099,0.1043030243047673,0.0,0.0,0.0,0.0,1.0
fr_nitroso,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_oxazole,1001.0,0.003996003996003996,0.0631190619703429,0.0,0.0,0.0,0.0,1.0
fr_oxime,1001.0,0.008991008991008992,0.1044944061616741,0.0,0.0,0.0,0.0,2.0
fr_para_hydroxylation,1001.0,0.18081918081918083,0.48194577316512305,0.0,0.0,0.0,0.0,4.0
